ESG Pillar,Group,Indicator code,Indicator name
Environment,Climate risk & resilience,EN.CLC.HDDY.XD,Heating Degree Days
Environment,Climate risk & resilience,EN.LND.LTMP.DC,Land Surface Temperature
Environment,Climate risk & resilience,ER.H2O.FWST.ZS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
Environment,Climate risk & resilience,EN.POP.DNST,Population density (people per sq. km of land area)
Environment,Climate risk & resilience,EN.H2O.BDYS.ZS,Proportion of bodies of water with good ambient water quality
Environment,Climate risk & resilience,EN.CLC.SPEI.XD,Standardised Precipitation-Evapotranspiration Index
Environment,Food Security,AG.LND.AGRI.ZS,Agricultural land (% of land area)
Environment,Food Security,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)"
Environment,Food Security,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100)
Environment,Natural capital endowment & management,NY.ADJ.DRES.GN.ZS,"Adjusted savings, natural resources depletion (% of GNI)"
Environment,Natural capital endowment & management,NY.ADJ.DFOR.GN.ZS,"Adjusted savings, net forest depletion (% of GNI)"
Environment,Natural capital endowment & management,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)"
Environment,Natural capital endowment & management,AG.LND.FRST.ZS,Forest area (% of land area)
Environment,Natural capital endowment & management,EN.MAM.THRD.NO,"Mammal species, threatened"
Environment,Natural capital endowment & management,AG.LND.PFLS.HA,Primary Forest Loss
Environment,Natural capital endowment & management,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area)
Environment,Natural capital endowment & management,AG.LND.FRLS.HA,Tree Cover Loss
Social,Access to Services,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking  (% of population)
Social,Access to Services,EG.ELC.ACCS.ZS,Access to electricity (% of population)
Social,Access to Services,SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population)
Social,Access to Services,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population)
Social,Demography,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
Social,Demography,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)"
Social,Demography,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population)
Social,Education & skills,SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
Social,Education & skills,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)"
Social,Education & skills,SE.PRM.ENRR,"School enrollment, primary (% gross)"
Social,Employment,SL.TLF.0714.ZS,"Children in employment, total (% of children ages 7-14)"
Social,Employment,SL.TLF.ACTI.ZS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
Social,Employment,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Social,Health & Nutrition,SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
Social,Health & Nutrition,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)"
Social,Health & Nutrition,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)"
Social,Health & Nutrition,SH.STA.OWAD.ZS,Prevalence of overweight (% of adults)
Social,Health & Nutrition,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population)
Social,Poverty & Inequality,SI.POV.GINI,Gini index
Social,Poverty & Inequality,SI.DST.FRST.20,Income share held by lowest 20%
Social,Poverty & Inequality,SI.POV.DDAY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)
Social,Poverty & Inequality,SI.POV.UMIC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population)
Social,Poverty & Inequality,SI.POV.NAHC,Poverty headcount ratio at national poverty lines (% of population)
Social,Poverty & Inequality,SI.SPR.PGAP,Prosperity gap (average shortfall from a prosperity standard of $28/day)
Governance,Economic Environment,NY.GDP.MKTP.KD.ZG,GDP (annual % growth)
Governance,Economic Environment,IT.NET.USER.ZS,Individuals using the Internet (% of population)
Governance,Gender,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%)
Governance,Gender,SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
Governance,Gender,SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
Governance,Gender,SP.UWT.TFRT,Unmet need for contraception (% of married women ages 15-49)
Governance,Government Effectiveness,GE.EST,Government Effectiveness: Estimate
Governance,Government Effectiveness,RQ.EST,Regulatory Quality: Estimate
Governance,Human Rights,SD.ESR.PERF.XQ,Economic and Social Rights Performance Score
Governance,Human Rights,VA.EST,Voice and Accountability: Estimate
Governance,Innovation,IP.PAT.RESD,"Patent applications, residents"
Governance,Innovation,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP)
Governance,Innovation,IP.JRN.ARTC.SC,Scientific and technical journal articles
Governance,Stability & Rule of Law,CC.EST,Control of Corruption: Estimate
Governance,Stability & Rule of Law,SM.POP.NETM,Net migration
Governance,Stability & Rule of Law,PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate
Governance,Stability & Rule of Law,RL.EST,Rule of Law: Estimate
